	utt_1	utt_2	dialog_id	label
46	what kind of car do you want?	hi, my name is kate and i am from ohio.	4	1
47	hi, my name is kate and i am from ohio.	hello miss! i m ben and i m grounded for not picking up my toys	4	0
48	hello miss! i m ben and i m grounded for not picking up my toys	i am sorry to hear that. do you like pizza?	4	1
49	i am sorry to hear that. do you like pizza?	when mommy orders it. what do you like on your pizza?	4	0
50	when mommy orders it. what do you like on your pizza?	it is my favorite food. i really like it with black olives on it. you?	4	0
51	it is my favorite food. i really like it with black olives on it. you?	i like the red stuff underneath the cheese! how old are you?	4	1
52	i like the red stuff underneath the cheese! how old are you?	i am thirty years old and i work at a supermarket in my town.	4	0
53	i am thirty years old and i work at a supermarket in my town.	is that where my parents pick up the food?	4	0
54	is that where my parents pick up the food?	i am not sure if it is the same one.	4	0
55	i am not sure if it is the same one.	do you have any pets?	4	1
56	do you have any pets?	i have a cat. his name is spook. what about you?	4	0
57	i have a cat. his name is spook. what about you?	i have a turtle. i named him leo	4	0
58	i have a turtle. i named him leo	that is cool. how did you get a turtle?	4	0
59	that is cool. how did you get a turtle?	my best friend got it for me. he lives across he street	4	0
60	my best friend got it for me. he lives across he street	that was sweet of him. do you like music?	4	1
61	that was sweet of him. do you like music?	i like what barney sings!	4	0
62	i like what barney sings!	you may not know them, but the who is a great band!	4	0
63	you may not know them, but the who is a great band!	daddy listens to them all the time!	4	0
64	daddy listens to them all the time!	hi. i do not like working as a car salesman.	5	1
65	hi. i do not like working as a car salesman.	i recently broke my arm so i am not working	5	1
66	i recently broke my arm so i am not working	what happened? it is hard to do anything with a broken arm.	5	0
67	what happened? it is hard to do anything with a broken arm.	i blame my skateboarding friends	5	0
68	i blame my skateboarding friends	do you think 40 is too old to go back to school?	5	1
69	do you think 40 is too old to go back to school?	yes, you should retire and learn to knit	5	0
70	yes, you should retire and learn to knit	no money. once i get paid my wife goes shopping. never get married.	5	1
71	no money. once i get paid my wife goes shopping. never get married.	good advise, thank you for that	5	0
72	good advise, thank you for that	where do you work?	5	1
73	where do you work?	i try to avoid working at all	5	0
74	i try to avoid working at all	it is hard for me. i do not like telling people to buy something.	5	0
75	it is hard for me. i do not like telling people to buy something.	i just want to live free	5	1
76	i just want to live free	nothing is free. unless you win the lottery.	5	0
77	nothing is free. unless you win the lottery.	it could happen one day	5	0
78	it could happen one day	are you married or are you at home with your parents?	5	1
79	are you married or are you at home with your parents?	anything is possible right?	5	0
80	anything is possible right?	hi, i am taking a break from studying my computer programming	6	1
81	hi, i am taking a break from studying my computer programming	what is computer programming, i am new to the united states.	6	0
82	what is computer programming, i am new to the united states.	i am from india so i understand. it is telling computers how to run programs	6	0
83	i am from india so i understand. it is telling computers how to run programs	cool, i was born in somalia, but my aunt helped me escape.	6	1
84	cool, i was born in somalia, but my aunt helped me escape.	that was nice of her! my aunt taught me how to swim	6	0
85	that was nice of her! my aunt taught me how to swim	i had to get away, i was forced to marry young, but now i am happy	6	0
86	i had to get away, i was forced to marry young, but now i am happy	did you take your spouse with you?	6	0
87	did you take your spouse with you?	no, i had to escape him.	6	0
88	no, i had to escape him.	it was not fun times.	6	0
89	it was not fun times.	i am sorry. i am glad you are safe now	6	0
90	i am sorry. i am glad you are safe now	thank you, do you do anything in your free time?	6	1
91	thank you, do you do anything in your free time?	i love death metal music. i listen and write some too.	6	0
92	i love death metal music. i listen and write some too.	death metal, is that the music you get whip lash from?	6	0
93	death metal, is that the music you get whip lash from?	yeah! i also coach competitive swimming.	6	1
94	yeah! i also coach competitive swimming.	swimming is fun! have you met any olympians?	6	0
95	swimming is fun! have you met any olympians?	hi there how are you tonight?	7	1
96	hi there how are you tonight?	i am tired from milking the cows.	7	0
97	i am tired from milking the cows.	well i know i am strong for a 100 but i do not think i can do that	7	0
98	well i know i am strong for a 100 but i do not think i can do that	100?! that is older then my dad! would you make your son milk cows?	7	0
99	100?! that is older then my dad! would you make your son milk cows?	yea because i sure cant do it	7	0
100	yea because i sure cant do it	i would rather be coloring in my books! do you like sports?	7	1
101	i would rather be coloring in my books! do you like sports?	yes i have love baseball all my life	7	0
102	yes i have love baseball all my life	i like to watch hockey with my dad. do you have any kids?	7	1
103	i like to watch hockey with my dad. do you have any kids?	yes 8 kids 24 grandkids and counting	7	0
104	yes 8 kids 24 grandkids and counting	wow! i can not even count that high! i have a pet though. do you?	7	1
105	wow! i can not even count that high! i have a pet though. do you?	no but i should i heard they are great companions	7	0
106	no but i should i heard they are great companions	dad got me a german sheperd to help on the farm. where do you live?	7	1
107	dad got me a german sheperd to help on the farm. where do you live?	in california but i want to move to france	7	0
108	in california but i want to move to france	france is a long ways away! will you drive there?	7	0
109	france is a long ways away! will you drive there?	no way i would die on the way il fly there	7	0
110	no way i would die on the way il fly there	do they let people as old as you on planes, mister?	7	1
111	do they let people as old as you on planes, mister?	what do you do in your spare time?	8	1
112	what do you do in your spare time?	i recently quit my job, moved in to monastery to pursue my spirituality.	8	0
113	i recently quit my job, moved in to monastery to pursue my spirituality.	that is incredibly brilliant. congratulations	8	0
114	that is incredibly brilliant. congratulations	i appreciate that.	8	0
115	i appreciate that.	are you a spiritual person, may i ask?	8	0
116	are you a spiritual person, may i ask?	yes i am actually. i became very close to god after surviving cancer	8	0
117	yes i am actually. i became very close to god after surviving cancer	you are amazing. thank you for sharing.	8	0
118	you are amazing. thank you for sharing.	you are as well. an inspiration. i must remember you when training my clients	8	0
119	you are as well. an inspiration. i must remember you when training my clients	what is it that you do?	8	0
120	what is it that you do?	i actually just started as a life coach	8	0
121	i actually just started as a life coach	peace be with you as you embark on your new journey	8	0
122	peace be with you as you embark on your new journey	thank you. that means a lot to me	8	0
123	thank you. that means a lot to me	live in he wilderness of alaska now, we do not have many life coaches here.	8	1
124	live in he wilderness of alaska now, we do not have many life coaches here.	it is very much needed. people need guidance	8	0
125	it is very much needed. people need guidance	i agree fully. do you believe in meditation? my meditation time has brought me much peace	8	1
126	i agree fully. do you believe in meditation? my meditation time has brought me much peace	i meditate right before i run a big marathon and it helps me keep my stamina.	8	0
127	i meditate right before i run a big marathon and it helps me keep my stamina.	good for you!	8	0
128	good for you!	i have never ran a marathon, but i certainly admire your determination!	8	0
129	i have never ran a marathon, but i certainly admire your determination!	hello how are you this fine day?	9	1
130	hello how are you this fine day?	i am good! counting the days till i can move out. and you?	9	0
131	i am good! counting the days till i can move out. and you?	i am playing some role playing games online today.	9	0
132	i am playing some role playing games online today.	i love the internet, probably too much!	9	0
133	i love the internet, probably too much!	my job at burger king is taking away all of my video game time.	9	0
134	my job at burger king is taking away all of my video game time.	i work in fast food also.	9	0
135	i work in fast food also.	my coworkers are always complaining i burn the burgers. you are not my parents!	9	0
136	my coworkers are always complaining i burn the burgers. you are not my parents!	i tried to go to school to be a vet. i hated it!	9	0
137	i tried to go to school to be a vet. i hated it!	do you drink or do drugs?	9	1
138	do you drink or do drugs?	i do not. do you dye your hair? i do every 3 months.	9	1
139	i do not. do you dye your hair? i do every 3 months.	ok good.	9	0
140	ok good.	but why dye your hair?	9	0
141	but why dye your hair?	that is, like, drugs for your hair.	9	0
142	that is, like, drugs for your hair.	i love to dye it blue. red reminds me of blood and i faint from that!	9	0
143	i love to dye it blue. red reminds me of blood and i faint from that!	blue!? blue!? i hate blue! ree!!!	9	0
144	blue!? blue!? i hate blue! ree!!!	what color should i dye it?	9	0
145	what color should i dye it?	black, like my soul.	9	0
146	black, like my soul.	i am very depressed from working at burger king.	9	0
147	i am very depressed from working at burger king.	that is deep. i could do black. my natural hair color is blond.	9	0
148	that is deep. i could do black. my natural hair color is blond.	blond is perfectly fine. you should just keep it like that.	9	0
149	blond is perfectly fine. you should just keep it like that.	hello, how are you doing today?	10	1
150	hello, how are you doing today?	okay. i go to school. i like disney world.	10	1
151	okay. i go to school. i like disney world.	oh i love disney world. it has a beach nearby and i love the beach.	10	0
152	oh i love disney world. it has a beach nearby and i love the beach.	do you like playing on the swings at the playground?	10	1
153	do you like playing on the swings at the playground?	i normally do not go to the playgrounds much anymore. how old are you?	10	1
154	i normally do not go to the playgrounds much anymore. how old are you?	i am nine years old. how old are you?	10	0
155	i am nine years old. how old are you?	oh! i am 27 years old. i am also an elementary school teacher.	10	0
156	oh! i am 27 years old. i am also an elementary school teacher.	what grade do you teach? i am in third. do you like mickey mouse?	10	1
157	what grade do you teach? i am in third. do you like mickey mouse?	i teach 4th grade. i love mickey mouse. i decorate my classroom with him	10	0
158	i teach 4th grade. i love mickey mouse. i decorate my classroom with him	i bet you would love disney world. do you ever go?	10	0
159	i bet you would love disney world. do you ever go?	someday i would like to. i am saving up. have you ever been?	10	0
160	someday i would like to. i am saving up. have you ever been?	every year. i am lucky. would you like to go with me?	10	0
161	every year. i am lucky. would you like to go with me?	oh that is a sweet offer. you have to ask your parents first!	10	0
162	oh that is a sweet offer. you have to ask your parents first!	my dad will take you. he has lot of money. where are your vacations?	10	0
163	my dad will take you. he has lot of money. where are your vacations?	i do not take many. i play board games mostly... teachers do not make much money	10	0
164	i do not take many. i play board games mostly... teachers do not make much money	i will ask my dad. do you play video games? i like them.	10	1
165	i will ask my dad. do you play video games? i like them.	hello! how are you doing today?	11	1
166	hello! how are you doing today?	hi. i am doing great. thanks for asking. and you?	11	0
167	hi. i am doing great. thanks for asking. and you?	i am doing great! i am just building a model house	11	0
168	i am doing great! i am just building a model house	cool. i volunteer at various places at the moment	11	0
169	cool. i volunteer at various places at the moment	that is nice, what places?	11	0
170	that is nice, what places?	church, high school tutoring, publishing houses	11	0
171	church, high school tutoring, publishing houses	i work part time because i cant leave my cats alone long	11	1
172	i work part time because i cant leave my cats alone long	wow. how many cats do you have?	11	0
173	wow. how many cats do you have?	i have a total of 5 cats	11	0
174	i have a total of 5 cats	nice. what do you think of someone growing up poor?	11	1
175	nice. what do you think of someone growing up poor?	i honestly think it makes them a better person	11	0
176	i honestly think it makes them a better person	well i asked because i grew up poor during several periods	11	0
177	well i asked because i grew up poor during several periods	i am sorry to hear. at least your living!	11	0
178	i am sorry to hear. at least your living!	yes, it is well.	11	0
179	yes, it is well.	enough about me.	11	0
180	enough about me.	how about your favorite past times?	11	1
181	how about your favorite past times?	i just like to spend time with my cats	11	0
182	i just like to spend time with my cats	ok. what about favorite foods? cheeseburgers?	11	1
183	ok. what about favorite foods? cheeseburgers?	hey, what are you planning for today?	12	1
184	hey, what are you planning for today?	oh.	12	0
185	oh.	not much , my name is heather and just looking to chat with people.	12	0
186	not much , my name is heather and just looking to chat with people.	i like chatting too, it is how i got homecoming queen talking to everyone	12	0
187	i like chatting too, it is how i got homecoming queen talking to everyone	what is your name and do you have any hobbies?	12	1
188	what is your name and do you have any hobbies?	kris, i run, training to run a k, how about yourself any hobbies?	12	0
189	kris, i run, training to run a k, how about yourself any hobbies?	ha , ha.	12	0
190	ha , ha.	that is funny.	12	0
191	that is funny.	my husband was homecoming king in high school.	12	1
192	my husband was homecoming king in high school.	how long are you married? did you go to college?	12	1
193	how long are you married? did you go to college?	i like books. not much time now that i am going to have a baby	12	1
194	i like books. not much time now that i am going to have a baby	oh congrats!	12	0
195	oh congrats!	i read a lot need, the a hope to be a physical therapist	12	0
196	i read a lot need, the a hope to be a physical therapist	i got my degree from college, i have been married for 3 years	12	0
197	i got my degree from college, i have been married for 3 years	cool, i want so badly to finish high school and go to college	12	0
198	cool, i want so badly to finish high school and go to college	so how old are you kris?	12	1
199	so how old are you kris?	17, but feels older.	12	0
200	17, but feels older.	how about you?	12	0
201	how about you?	do not be so eager to grow up its not as fun as you may think	12	0
202	do not be so eager to grow up its not as fun as you may think	i know but you get to make your own decisions	12	0
203	i know but you get to make your own decisions	i am 27 and wish i was 17 again ha ha	12	0
204	i am 27 and wish i was 17 again ha ha	hey! how are you doing today?	13	1
205	hey! how are you doing today?	hi! doing great. where are you from?	13	0
206	hi! doing great. where are you from?	i am from the south in the us. what about you?	13	0
207	i am from the south in the us. what about you?	i live in hawaii and i work from home.	13	0
208	i live in hawaii and i work from home.	beautiful place. i have a dog walking business. do you have pets?	13	1
209	beautiful place. i have a dog walking business. do you have pets?	it is. i love it here. i have 2 dogs they love it here too.	13	0
210	it is. i love it here. i have 2 dogs they love it here too.	good to talk to a fellow dog lover! we have three.	13	0
211	good to talk to a fellow dog lover! we have three.	awesome! will you dress them up for halloween?	13	1
212	awesome! will you dress them up for halloween?	yeah, we will go all out this year!	13	0
213	yeah, we will go all out this year!	do you have any plans?	13	0
214	do you have any plans?	we are gonna watch a bunch of horror movies. have you seen the new it?	13	0
215	we are gonna watch a bunch of horror movies. have you seen the new it?	have not gotten the chance, maybe this week.	13	0
216	have not gotten the chance, maybe this week.	you a big horror movie buff?	13	0
217	you a big horror movie buff?	horror movies are my favorite!	13	0
218	horror movies are my favorite!	perfect time of the year for them!	13	0
219	perfect time of the year for them!	my thoughts exactly.	13	0
220	my thoughts exactly.	nice chatting, have a great day!	13	0
221	nice chatting, have a great day!	what do you do for work?	14	1
222	what do you do for work?	i am a school teacher, who about you?	14	0
223	i am a school teacher, who about you?	i work on my parents farm	14	0
224	i work on my parents farm	i bet that is hard work	14	0
225	i bet that is hard work	it is, but its a lifestyle	14	0
226	it is, but its a lifestyle	true do you have any hobbies outside of the farm?	14	1
227	true do you have any hobbies outside of the farm?	i love listening to country music, its the best genre	14	0
228	i love listening to country music, its the best genre	i love photography and foreign language	14	0
229	i love photography and foreign language	those sound like fun hobbies	14	0
230	those sound like fun hobbies	they are very simple but enjoyable	14	0
231	they are very simple but enjoyable	do you have any pets?	14	1
232	do you have any pets?	unfortunately no, do you have any?	14	0
233	unfortunately no, do you have any?	yes, a cow.	14	0
234	yes, a cow.	it seems strange, but they are the best pets!	14	0
235	it seems strange, but they are the best pets!	now that is unusual but interesting.	14	0
236	now that is unusual but interesting.	hi how are you today	15	1
237	hi how are you today	i am doing well how about you?	15	0
238	i am doing well how about you?	doing good just waiting on the baby birth	15	0
239	doing good just waiting on the baby birth	aww congratulations. it must be exciting.	15	0
240	aww congratulations. it must be exciting.	we are having triplets so very excited	15	0
241	we are having triplets so very excited	ow wow now that will be hard task	15	0
242	ow wow now that will be hard task	yeah do you have kids?	15	0
243	yeah do you have kids?	no i sadly do not. i never been one to hold a steady relationship	15	0
244	no i sadly do not. i never been one to hold a steady relationship	i just got remarried with step children	15	0
245	i just got remarried with step children	and now you are having triplets. now that will be a huge family	15	0
246	and now you are having triplets. now that will be a huge family	and i work at a school so kids everywhere	15	1
247	and i work at a school so kids everywhere	are you a teacher? or work in administration?	15	0
248	are you a teacher? or work in administration?	i am a teacher where do you work?	15	0
249	i am a teacher where do you work?	i am self employed. what subject do you teach	15	0
250	i am self employed. what subject do you teach	i teach early childhood	15	0
251	i teach early childhood	that is cool. my mother is actually the chair of and education department	15	0
252	that is cool. my mother is actually the chair of and education department	hello. how is it going today?	16	1
253	hello. how is it going today?	good, studying the lsat today.	16	0
254	good, studying the lsat today.	how about you?	16	0
255	how about you?	i am good. i have a big home library if you are interested.	16	0
256	i am good. i have a big home library if you are interested.	really? i am wanting to be an attorney. where are you from	16	1
257	really? i am wanting to be an attorney. where are you from	new mexico. i am a tour guide at a local museum there.	16	0
258	new mexico. i am a tour guide at a local museum there.	i used to live in nm! i lived in a small town outside abq.	16	0
259	i used to live in nm! i lived in a small town outside abq.	cool. i love living here. i am partially deaf and people are understanding.	16	0
260	cool. i love living here. i am partially deaf and people are understanding.	they are.	16	0
261	they are.	we had horses, do you ride?	16	1
262	we had horses, do you ride?	no. i prefer to hang out in the mall. i love drinking fancy tea.	16	1
263	no. i prefer to hang out in the mall. i love drinking fancy tea.	tea i am more of a coffee gal, have to study late.	16	0
264	tea i am more of a coffee gal, have to study late.	that makes sense.	16	0
265	that makes sense.	soon you will be a lawyer, right?	16	0
266	soon you will be a lawyer, right?	i hope, have to get good scores first.	16	0
267	i hope, have to get good scores first.	how is your museum?	16	1
268	how is your museum?	it is a small one but we get quite a lot of visitors because entrance is free.	16	0
269	it is a small one but we get quite a lot of visitors because entrance is free.	neat.	16	0
270	neat.	i grew up with horses, is there anything about horses there?	16	0
271	i grew up with horses, is there anything about horses there?	hi. do you like country music?	17	1
272	hi. do you like country music?	it is ok. i prefer rock	17	0
273	it is ok. i prefer rock	i am a country singer. i wish i was a rock singer though.	17	0
274	i am a country singer. i wish i was a rock singer though.	that is cool. are you famous?	17	0
275	that is cool. are you famous?	yes, but due to my record contract, i cannot tell you my name.	17	0
276	yes, but due to my record contract, i cannot tell you my name.	are you famous?	17	0
277	are you famous?	only at my high school. i just won homecoming queen actually	17	0
278	only at my high school. i just won homecoming queen actually	congratulations. i did not go to school because of my musical career. is your crown nice?	17	0
279	congratulations. i did not go to school because of my musical career. is your crown nice?	it is gorgeous! what do you do for fun?	17	1
280	it is gorgeous! what do you do for fun?	go to national parks. think about what i missed out on in high school. you?	17	0
281	go to national parks. think about what i missed out on in high school. you?	i run all the time. i want to run a 10k one day.	17	0
282	i run all the time. i want to run a 10k one day.	i believe in you. are you on the track team?	17	0
283	i believe in you. are you on the track team?	yes i am. but i want to be a physical therapist when i am an adult	17	0
284	yes i am. but i want to be a physical therapist when i am an adult	i want to be a rock singer.	17	0
285	i want to be a rock singer.	you should go for it!	17	0
286	you should go for it!	hello! how are you doing today?	18	1
287	hello! how are you doing today?	i am great. third grade is tiring though even though i do not have any responsibilities.	18	0
288	i am great. third grade is tiring though even though i do not have any responsibilities.	funny.	18	0
289	funny.	well, beats being alone, recluse that i am.	18	1
290	well, beats being alone, recluse that i am.	i am hermit. i am like mickey mouse without disney land.	18	0
291	i am hermit. i am like mickey mouse without disney land.	oh. like me. i do not go out much because of my water allergy	18	0
292	oh. like me. i do not go out much because of my water allergy	so i guess your name is not neptune.	18	0
293	so i guess your name is not neptune.	no. adam. i am famous for my twitch streaming.	18	1
294	no. adam. i am famous for my twitch streaming.	i do not video games because i am always at the playground with all my classmates	18	1
295	i do not video games because i am always at the playground with all my classmates	it is fun! i helped make starcraft. have you played it?	18	1
296	it is fun! i helped make starcraft. have you played it?	no. i have played halo it is fun.	18	0
297	no. i have played halo it is fun.	indeed. now i am into building robots now though.	18	1
298	indeed. now i am into building robots now though.	robots may take over the world	18	0
299	robots may take over the world	sure. i am building one to be my body double. is that not fun?	18	0
300	sure. i am building one to be my body double. is that not fun?	i wish there was two of me so i could be double trouble.	18	0
301	i wish there was two of me so i could be double trouble.	how are you doing today	19	1
302	how are you doing today	i am good!	19	0
303	i am good!	grading papers all day, you?	19	0
304	grading papers all day, you?	i am alright just recording	19	0
305	i am alright just recording	what are you recording? that sounds interesting.	19	0
306	what are you recording? that sounds interesting.	music in my studio my kids like it	19	0
307	music in my studio my kids like it	do you like the band up? i saw them once.	19	0
308	do you like the band up? i saw them once.	i used to. i am into newer stuff now	19	0
309	i used to. i am into newer stuff now	i cannot wait to go to the beach on vaca this year.	19	0
310	i cannot wait to go to the beach on vaca this year.	have you been there before	19	0
311	have you been there before	i try to go every year with my parents. they were teachers too.	19	0
312	i try to go every year with my parents. they were teachers too.	all in the family career wise nice	19	0
313	all in the family career wise nice	yeah, i followed in their footsteps.	19	0
314	yeah, i followed in their footsteps.	you must have a lot to talk to them about	19	0
315	you must have a lot to talk to them about	sometimes. the little kids i teach always make or a good story.	19	0
316	sometimes. the little kids i teach always make or a good story.	i am sure that they do	19	0
317	i am sure that they do	what else do you enjoy?	19	1
318	what else do you enjoy?	good evening from alabama! where are you at?	20	1
319	good evening from alabama! where are you at?	hi, i am in nevada.	20	0
320	hi, i am in nevada.	i am listening to country music.	20	0
321	i am listening to country music.	tacos are my favorite, do you have any great food trucks there?	20	1
322	tacos are my favorite, do you have any great food trucks there?	yes we do, i am a store manager and we sell really good tacos.	20	0
323	yes we do, i am a store manager and we sell really good tacos.	my three sisters would love that.	20	0
324	my three sisters would love that.	my brother, not so much.	20	0
325	my brother, not so much.	taylor swift walked into my store the other day! it was awesome!	20	1
326	taylor swift walked into my store the other day! it was awesome!	i am not fond of her. i think i would have escaped.	20	0
327	i am not fond of her. i think i would have escaped.	really? i cut my hair like hers short and brown.	20	0
328	really? i cut my hair like hers short and brown.	i prefer metal. i do not like country at all.	20	0
329	i prefer metal. i do not like country at all.	i like metal too but the old school, like lyda ford.	20	0
330	i like metal too but the old school, like lyda ford.	i love her and ozzy in close your eyes. it is one of my favorites.	20	0
331	i love her and ozzy in close your eyes. it is one of my favorites.	oh man you hit the spot! i play it loud in my nissan pathfinder.	20	1
332	oh man you hit the spot! i play it loud in my nissan pathfinder.	i drive a jeep wrangler. i mix it up with tupac.	20	0
333	i drive a jeep wrangler. i mix it up with tupac.	california knows how to party!	20	0
334	california knows how to party!	true that!	20	0
335	true that!	somewhere between psalms 31 and tupac is me, lol	20	0
336	somewhere between psalms 31 and tupac is me, lol	i am more like john 316 and cypress hill.	20	0
337	i am more like john 316 and cypress hill.	hello, how are you doing this afternoon?	21	1
338	hello, how are you doing this afternoon?	do you like metal music?	21	1
339	do you like metal music?	i am good and no i like country	21	0
340	i am good and no i like country	i love america, i have only been here two years, i am from india.	21	1
341	i love america, i have only been here two years, i am from india.	cool! i have not traveled much since my transplant	21	0
342	cool! i have not traveled much since my transplant	i am sorry, are you okay?	21	0
343	i am sorry, are you okay?	i am.	21	0
344	i am.	yes , when i was born my heart was on the outside.	21	0
345	yes , when i was born my heart was on the outside.	what was that like? i am a boring computer student.	21	0
346	what was that like? i am a boring computer student.	it was crazy growing up i could not play like most boys	21	0
347	it was crazy growing up i could not play like most boys	that is so sad. i loved my childhood playing with my friends.	21	0
348	that is so sad. i loved my childhood playing with my friends.	i bet, i learned to do magic like moving things with my mind	21	0
349	i bet, i learned to do magic like moving things with my mind	that is very interesting, can you swim?	21	1
350	that is very interesting, can you swim?	yes i enjoy swimming a lot	21	0
351	yes i enjoy swimming a lot	i am a coach, if you need to brush up on your skills, let me know.	21	0
352	i am a coach, if you need to brush up on your skills, let me know.	thank you for the offer, i could use some pointers	21	0
353	thank you for the offer, i could use some pointers	you are most welcome. we all must do our part to make the world better.	21	0
354	you are most welcome. we all must do our part to make the world better.	i agree with you! i like helping at animal shelters	21	0
355	i agree with you! i like helping at animal shelters	i love to play guitar, i was only three when i started	22	1
356	i love to play guitar, i was only three when i started	my parents were killed by a clown when i was three. i was then adopted	22	0
357	my parents were killed by a clown when i was three. i was then adopted	hi, how are you?	22	1
358	hi, how are you?	do you like country music?	22	1
359	do you like country music?	i am a singer.	22	1
360	i am a singer.	it is alright. i am more of a pop fan myself	22	0
361	it is alright. i am more of a pop fan myself	sad, i am sorry, did they every caught the clown?	22	0
362	sad, i am sorry, did they every caught the clown?	no. now i get scared whenever i see one	22	0
363	no. now i get scared whenever i see one	lets be happy and not think about that, i love national parks	22	0
364	lets be happy and not think about that, i love national parks	i recently got a job! now i work at a gas station	22	0
365	i recently got a job! now i work at a gas station	do you like rascal flats? they are my favorite band.	22	1
366	do you like rascal flats? they are my favorite band.	not really. but my adopted dad likes them	22	0
367	not really. but my adopted dad likes them	now that is something happy to talk about! i work in the industry	22	0
368	now that is something happy to talk about! i work in the industry	what industry do you work in?	22	0
369	what industry do you work in?	okay, so tell me more about yourself	22	1
370	okay, so tell me more about yourself	i am single. though my dad keeps setting me up on blind dates	22	0
371	i am single. though my dad keeps setting me up on blind dates	in the factory, that is what i mean	22	0
372	in the factory, that is what i mean	cool. what do you make?	22	0
373	cool. what do you make?	i am addicted to the internet that is why i want to work from home	23	1
374	i am addicted to the internet that is why i want to work from home	i love the internet it makes me think i can over take the world	23	0
375	i love the internet it makes me think i can over take the world	it is a dream to work from home and play role play games	23	0
376	it is a dream to work from home and play role play games	yes i use to paint for job. but now i am a maid or housekeeper	23	0
377	yes i use to paint for job. but now i am a maid or housekeeper	i know how you feel, i do not like being a veterinarian	23	0
378	i know how you feel, i do not like being a veterinarian	at 56 i am looking forward to retirement	23	0
379	at 56 i am looking forward to retirement	do you see blood as a maid? it makes me faint.	23	0
380	do you see blood as a maid? it makes me faint.	i see just about everything no blood though.	23	0
381	i see just about everything no blood though.	you are too young to retire, what you going to do?	23	0
382	you are too young to retire, what you going to do?	i may visit my grown children since they never visit me.	23	0
383	i may visit my grown children since they never visit me.	that is so good to know, it really scares me	23	1
384	that is so good to know, it really scares me	as a older woman i wish i could have plastic surgery.	23	1
